Module name,Amount of lines,Percentage of total,Cherrypicked modules,Percentage of total,Why is needed,,"Baseline of which modules to include, obtained from https://github.com/nihui/opencv-mobile/tree/master?tab=readme-ov-file#opencv-modules-included",
core,221692,21.56589411,221692,37.7601319,Baseline,,Size reduction of cherrypicked VS full (percentage),57.11286753
dnn,219894,21.39098713,,0,,,,
imgproc,124210,12.08297867,124210,21.1563159,Baseline,,,
gapi,104092,10.12592719,,0,,,,
objdetect,60815,5.915999903,60815,10.35843613,Incode,,,
features2d,55363,5.38563681,55363,9.429813356,,,,
calib3d,52794,5.135728009,52794,8.992243309,Revolut,,,
videoio,42292,4.114107833,,0,,,,
ts,34142,3.321286996,,0,,,,
imgcodecs,15750,1.532138427,15750,2.682650152,Baseline,,,
video,14525,1.412972105,14525,2.473999584,Baseline,,,
highgui,13629,1.325810453,13629,2.321386598,Baseline,,,
ml,13311,1.294875848,13311,2.267222614,"Incode, IPCheckCapture",,,
java,10822,1.052749337,,0,,,,
python,10343,1.006152873,,0,,,,
stitching,9364,0.9109170943,,0,,,,
flann,8158,0.7935990661,8158,1.389527615,calib3d,,,
js,8099,0.7878596269,,0,,,,
photo,6859,0.6672341253,6859,1.16827285,Baseline,,,
objc,1717,0.1670274083,,0,,,,
world,104,0.01011697755,,0,,,,
TOTAL,1027975,100,587106,100,,,,
